BeeID,ColonyID,Date,Treatment,Count,WingSize,DeathDate,Death,TimeBeforeDeath,,
1,A,06/12/17,100%,0,5.6,NA,0,7,,
2,B,06/12/17,50%,1,5.1,NA,0,7,,
3,C,06/12/17,25%,15,5.9,NA,0,7,,
4,A,06/12/17,0%,9,5.2,NA,0,7,,
5,B,06/12/17,100%,0,5.6,NA,0,7,,
6,C,06/12/17,50%,6,5.3,NA,0,7,,
7,A,06/12/17,25%,NA,5.7,06/16/17,1,4,,
8,B,06/12/17,0%,1,5.5,NA,0,7,,
9,C,06/12/17,100%,14,5.8,NA,0,7,,
10,A,06/12/17,50%,0,5.4,NA,0,7,,
11,B,06/12/17,25%,0,5.9,NA,0,7,,
12,C,06/12/17,0%,8,5.1,NA,0,7,,
13,A,06/12/17,100%,0,5.6,NA,0,7,,
14,B,06/12/17,50%,0,6,NA,0,7,,
15,C,06/12/17,25%,0,5.3,NA,0,7,,
16,A,06/12/17,0%,2,5.8,NA,0,7,,
17,B,06/12/17,100%,0,5.7,NA,0,7,,
18,C,06/12/17,50%,NA,5.4,06/17/17,1,5,,
19,A,06/12/17,25%,NA,6,06/18/17,1,6,,
20,B,06/12/17,0%,0,5.8,NA,0,7,,
21,C,06/12/17,100%,0,5.2,NA,0,7,,
22,A,06/12/17,50%,2,5.9,NA,0,7,,
23,B,06/12/17,25%,2,5.9,NA,0,7,,
24,C,06/12/17,0%,91,6.3,NA,0,7,,
25,A,06/12/17,100%,0,6.2,NA,0,7,,
26,B,06/12/17,50%,0,5.8,NA,0,7,,
27,C,06/12/17,25%,1,5.4,NA,0,7,,
28,A,06/12/17,0%,27,6.1,NA,0,7,,
29,B,06/12/17,100%,0,5.9,NA,0,7,,
30,C,06/12/17,50%,NA,5.8,06/16/17,1,4,,
31,A,06/12/17,25%,NA,5.8,06/14/17,1,2,,
32,B,06/12/17,0%,70,6.2,NA,0,7,,
33,C,06/12/17,100%,0,5.7,NA,0,7,,
34,A,06/12/17,50%,3,5.8,NA,0,7,,
35,B,06/12/17,25%,0,6.2,NA,0,7,,
36,C,06/12/17,0%,60,5.9,NA,0,7,,
37,A,06/12/17,100%,NA,5.9,06/13/17,1,1,,
38,B,06/12/17,50%,0,5.5,NA,0,7,,
39,C,06/12/17,25%,105,6.1,NA,0,7,,
40,A,06/12/17,0%,114,5.2,NA,0,7,,
41,B,06/12/17,100%,0,6.1,NA,0,7,,
42,C,06/12/17,50%,0,5.2,NA,0,7,,
43,A,06/12/17,25%,100,5.3,NA,0,7,,
44,B,06/12/17,0%,1,6.2,NA,0,7,,
45,C,06/12/17,100%,0,5.4,NA,0,7,,
46,A,06/12/17,50%,0,5.9,NA,0,7,,
