ColonyID,InocDate,Round,Pollen,Infection,Week,Date ,Weight
1,07/07/17,1B,S,I,2,07/14/17,634.5
2,07/06/17,1A,S,I,2,07/13/17,614.8
3,07/06/17,1A,W,U,2,07/13/17,615.8
4,07/06/17,1A,W,U,2,07/13/17,636.1
5,07/06/17,1A,S,U,2,07/13/17,631.8
6,07/07/17,1B,S,I,2,07/14/17,605.4
7,07/07/17,1B,S,U,2,07/14/17,627.9
8,07/06/17,1A,S,I,2,07/13/17,640.4
9,07/07/17,1B,W,I,2,07/14/17,625.3
11,07/06/17,1A,S,U,2,07/13/17,631.6
12,07/06/17,1A,S,U,2,07/13/17,626.1
14,07/07/17,1B,W,I,2,07/14/17,643.1
15,07/07/17,1B,W,U,2,07/14/17,637.5
16,07/06/17,1A,W,I,2,07/13/17,624.4
17,07/07/17,1B,W,U,2,07/14/17,640
18,07/07/17,1B,W,I,2,07/14/17,628.7
21,07/06/17,1A,W,I,2,07/13/17,627.7
22,07/07/17,1B,S,U,2,07/14/17,633.9
23,07/07/17,1B,W,U,2,07/14/17,622.7
25,07/06/17,1A,S,I,2,07/13/17,619.2
26,07/19/17,2B,S,U,2,07/26/17,633.3
27,07/18/17,2A,W,U,2,07/25/17,637.5
28,07/18/17,2A,S,I,2,07/25/17,619.5
29,07/19/17,2B,W,I,2,07/26/17,638.6
30,07/18/17,2A,S,I,2,07/25/17,655.3
32,07/18/17,2A,S,I,2,07/25/17,616.5
33,07/19/17,2B,W,I,2,07/26/17,611.6
34,07/18/17,2A,S,U,2,07/25/17,628.8
36,07/18/17,2A,W,U,2,07/25/17,630.6
38,07/18/17,2A,S,U,2,07/25/17,643.1
40,07/19/17,2B,W,I,2,07/26/17,625.2
41,07/19/17,2B,S,U,2,07/26/17,622
42,07/18/17,2A,S,I,2,07/25/17,634.8
43,07/18/17,2A,W,I,2,07/25/17,631.8
44,07/19/17,2B,W,U,2,07/26/17,625.4
45,07/19/17,2B,S,I,2,07/26/17,623
46,07/19/17,2B,W,U,2,07/26/17,628.4
47,07/19/17,2B,W,I,2,07/26/17,640.5
48,07/19/17,2B,W,U,2,07/26/17,620.5
50,07/18/17,2A,S,U,2,07/25/17,635.1
1,07/07/17,1B,S,I,4,07/28/17,685.6
2,07/06/17,1A,S,I,4,07/27/17,668
3,07/06/17,1A,W,U,4,07/27/17,686.3
4,07/06/17,1A,W,U,4,07/27/17,705
5,07/06/17,1A,S,U,4,07/27/17,680.4
6,07/07/17,1B,S,I,4,07/28/17,634.8
7,07/07/17,1B,S,U,4,07/28/17,680.5
8,07/06/17,1A,S,I,4,07/27/17,699.7
9,07/07/17,1B,W,I,4,07/28/17,648.4
11,07/06/17,1A,S,U,4,07/27/17,692.5
12,07/06/17,1A,S,U,4,07/27/17,675.5
14,07/07/17,1B,W,I,4,07/28/17,699.5
15,07/07/17,1B,W,U,4,07/28/17,683.9
16,07/06/17,1A,W,I,4,07/27/17,670.7
17,07/07/17,1B,W,U,4,07/28/17,683
18,07/07/17,1B,W,I,4,07/28/17,705
21,07/06/17,1A,W,I,4,07/27/17,684.7
22,07/07/17,1B,S,U,4,07/28/17,672.9
23,07/07/17,1B,W,U,4,07/28/17,677.9
25,07/06/17,1A,S,I,4,07/27/17,680.7
26,07/19/17,2B,S,U,4,08/09/17,661.4
27,07/18/17,2A,W,U,4,08/08/17,667.3
28,07/18/17,2A,S,I,4,08/08/17,655.2
29,07/19/17,2B,W,I,4,08/09/17,687.5
30,07/18/17,2A,S,I,4,08/08/17,704.9
32,07/18/17,2A,S,I,4,08/08/17,667.8
33,07/19/17,2B,W,I,4,08/09/17,666.4
34,07/18/17,2A,S,U,4,08/08/17,663.5
36,07/18/17,2A,W,U,4,08/08/17,674.8
38,07/18/17,2A,S,U,4,08/08/17,669.3
40,07/19/17,2B,W,I,4,08/09/17,668.2
41,07/19/17,2B,S,U,4,08/09/17,663.5
42,07/18/17,2A,S,I,4,08/08/17,684.6
43,07/18/17,2A,W,I,4,08/08/17,671
44,07/19/17,2B,W,U,4,08/09/17,675.1
45,07/19/17,2B,S,I,4,08/09/17,668.3
46,07/19/17,2B,W,U,4,08/09/17,672.4
47,07/19/17,2B,W,I,4,08/09/17,694.7
48,07/19/17,2B,W,U,4,08/09/17,664.3
50,07/18/17,2A,S,U,4,08/08/17,650.5
1,07/07/17,1B,S,I,5,08/04/17,751.6
2,07/06/17,1A,S,I,5,08/03/17,689.2
