ColonyID,InocDate,Round,Pollen ,Infection,FirstWeight,FinalWeight,DeltaWeight,Eggs,EggWt,Larvae,LarvaeWt,DeadLarvae,Pupae,PupaeWt,Drones,Drones2,TotalDrones,DroneWt,Queens,Queens,TotalQueens,QueenWt ,Workers,Workers2,TotalWorkers,WorkerWt,DeadWorkers2,Deadworkers,DeadQueens,DeadDrones,pots,Mold,Flies,DateofDissection,Totalbees,Notes
1,07/07/18,1B,S,I,634.5,839.8,205.3,112,105,280,6146.3,4,73,4339.5,0,0,0,NA,1,0,1,786.6,299,79,514,31403.8,47,89,0,0,214,N,Y,01/25/18,515,
2,07/06/18,1A,S,I,614.8,699.8,85,13,16.1,8,883.3,3,26,3144.7,55,33,88,8894.1,5,29,34,2766.4,10,56,169,1697.4,69,34,0,0,141,Y,Y,02/09/18,291,
3,07/06/18,1A,W,U,615.8,799.1,183.3,11,12.9,72,16373.3,6,32,11992.8,7,0,7,1094.8,11,0,11,7854.1,201,78,323,30395.9,19,25,0,0,173,N,Y,02/12/18,341,
4,07/06/18,1A,W,U,636.1,815.9,179.8,94,81.3,181,17387.7,1,28,4914.2,23,93,116,3498.2,9,7,16,5797.4,307,77,405,36707.7,6,15,0,0,198,N,Y,02/06/18,537,queen and worker #'s switched on paper data sheet
5,07/06/18,1A,S,U,631.8,754.8,123,38,58.4,172,7137.1,1,61,6083.7,0,2,2,NA,1,0,1,740.6,302,79,417,28222.8,9,27,0,0,244,N,Y,02/09/18,420,
6,07/07/18,1B,S,I,605.4,653.6,48.2,0,0,0,245.2,7,3,219.5,1,8,9,70.3,2,35,37,1206.9,1,37,58,38.7,10,10,0,0,68,Y,Y,01/29/18,104,
7,07/07/18,1B,S,U,627.9,851,223.1,46,72.5,188,5121.3,2,44,3767.6,0,0,0,NA,1,0,1,727.8,204,74,379,27690.3,74,27,0,0,282,N,Y,01/24/18,380,
8,07/06/18,1A,S,I,640.4,779.8,139.4,48,55.1,267,15761.5,0,22,2077.8,0,0,0,NA,1,3,4,650.4,338,81,472,39011.4,22,31,0,0,288,N,Y,02/08/18,476,
9,07/07/18,1B,W,I,625.3,768.6,143.3,264,353.7,42,8558.6,0,106,15272.5,0,0,0,NA,0,0,1,NA,213,71,310,34492,13,13,0,0,212,N,Y,01/22/18,311,
11,07/06/18,1A,S,U,631.6,747.8,116.2,89,67.7,218,8518.7,23,62,2127,7,1,8,729.6,1,0,1,763.9,313,76,441,27315.2,24,28,0,0,166,N,N,02/02/18,450,
12,07/06/18,1A,S,U,626.1,796,169.9,58,45.6,105,3823.5,20,6,574.1,15,0,15,1701.2,0,1,1,NA,270,78,381,33221,3,30,0,0,170,Y,Y,02/12/18,397,
14,07/07/18,1B,W,I,643.1,859.6,216.5,0,0,28,6653.4,11,47,18635,19,0,19,3220.6,26,16,42,18111.9,112,79,242,14296,32,19,0,0,199,N,Y,01/23/18,303,
