DroneID,ColonyID,Pollen,Infection,WingSize
5038,2,S,I,3.014
5045,2,S,I,3.023
5048,2,S,I,2.815
5050,2,S,I,2.932
5051,2,S,I,3.042
5060,2,S,I,2.687
5061,2,S,I,3.021
5063,2,S,I,2.941
5071,2,S,I,2.709
5072,2,S,I,2.895
5074,2,S,I,2.729
5076,2,S,I,2.718
5078,2,S,I,3.112
5080,2,S,I,2.878
5081,2,S,I,2.835
5087,2,S,I,2.616
5093,2,S,I,2.634
5095,2,S,I,2.866
5097,2,S,I,2.854
5099,2,S,I,2.922
5102,2,S,I,3.019
5103,2,S,I,3.019
5104,2,S,I,2.99
5105,2,S,I,2.962
5106,2,S,I,2.969
5112,2,S,I,3.095
5118,2,S,I,3.125
5120,2,S,I,2.972
5128,2,S,I,2.938
5132,2,S,I,2.9
5136,2,S,I,3.096
5138,2,S,I,3.045
5150,2,S,I,2.976
5000,4,W,U,3.117
5001,4,W,U,3.075
5002,4,W,U,2.708
5003,4,W,U,2.813
5004,4,W,U,2.779
5005,4,W,U,2.614
5006,4,W,U,2.972
5007,4,W,U,2.975
5008,4,W,U,3.15
5009,4,W,U,3.053
5010,4,W,U,2.648
5011,4,W,U,2.995
5012,4,W,U,3.027
5013,4,W,U,2.66
5014,4,W,U,2.879
5015,4,W,U,2.533
5016,4,W,U,2.842
5017,4,W,U,2.918
5018,4,W,U,2.955
5019,4,W,U,3.114
5020,4,W,U,2.87
5021,4,W,U,3.156
5022,4,W,U,2.895
5023,4,W,U,2.774
5024,4,W,U,2.518
5025,4,W,U,2.306
5026,4,W,U,2.603
5027,4,W,U,3.012
5028,4,W,U,2.935
5029,4,W,U,3.01
5030,4,W,U,NA
5031,4,W,U,3.02
5032,4,W,U,3.064
5033,4,W,U,2.7
5034,4,W,U,2.902
5035,4,W,U,2.406
5036,4,W,U,3.097
5042,4,W,U,2.66
5043,4,W,U,3.074
5044,4,W,U,2.559
5046,4,W,U,2.421
5047,4,W,U,3.015
5052,4,W,U,3.015
5057,4,W,U,3.037
5058,4,W,U,3.059
5059,4,W,U,2.377
5062,4,W,U,3.056
5068,4,W,U,2.89
5075,4,W,U,2.811
5077,4,W,U,3.07
5084,4,W,U,2.939
5089,4,W,U,2.747
5091,4,W,U,3.114
5094,4,W,U,3.125
5107,4,W,U,2.922
5108,4,W,U,2.674
5109,4,W,U,3.002
5111,4,W,U,3.136
5113,4,W,U,3.012
5114,4,W,U,3.116
5115,4,W,U,3.053
5116,4,W,U,3.025
5117,4,W,U,3.015
5119,4,W,U,2.987
5126,4,W,U,3.04
5129,4,W,U,3.151
5131,4,W,U,2.651
5134,4,W,U,2.821
5135,4,W,U,3.062
5139,4,W,U,2.834
5140,4,W,U,3.089
5141,4,W,U,2.699
5145,4,W,U,3.071
5155,4,W,U,2.486
5156,4,W,U,3.101
5160,4,W,U,2.991
5161,4,W,U,2.798
5164,4,W,U,2.889
5171,4,W,U,2.651
5185,4,W,U,2.945
5191,4,W,U,2.945
5206,4,W,U,3.095
5217,4,W,U,2.857
5218,4,W,U,2.791
5219,4,W,U,2.474
5220,4,W,U,2.895
5221,4,W,U,2.621
5222,4,W,U,3.077
5223,4,W,U,3.079
5224,4,W,U,3.014
5225,4,W,U,3.111
5226,4,W,U,2.639
5228,4,W,U,2.963
5178,5,W,U,3.079
5211,5,W,U,2.027
5065,6,S,I,2.578
5085,6,S,I,2.714
5086,6,S,I,2.62
5122,6,S,I,2.888
5194,6,S,I,2.621
5196,6,S,I,2.994
5210,6,S,I,2.679
5216,6,S,I,2.744
5110,11,W,U,2.907
5037,15,W,U,2.616
