QueenID,ColonyID,Pollen,Infection,WingSize
2901,2,S,I,3.808
2906,2,S,I,3.907
2920,2,S,I,3.777
2946,2,S,I,3.767
2948,2,S,I,3.849
2957,2,S,I,4.035
2962,2,S,I,3.764
2968,2,S,I,3.847
2974,2,S,I,3.9
2985,2,S,I,3.729
2986,2,S,I,4.074
2990,2,S,I,3.623
2999,2,S,I,3.661
3003,2,S,I,3.508
3006,2,S,I,3.67
3010,2,S,I,3.242
3027,2,S,I,3.806
3029,2,S,I,3.86
3031,2,S,I,3.902
3035,2,S,I,3.93
3039,2,S,I,3.783
3048,2,S,I,3.826
3049,2,S,I,3.846
3060,2,S,I,3.227
3072,2,S,I,3.673
3081,2,S,I,3.87
3085,2,S,I,3.619
3087,2,S,I,3.732
3092,2,S,I,3.766
2937,4,W,U,4.031
2938,4,W,U,3.859
3043,4,W,U,3.699
3052,4,W,U,4.008
3057,4,W,U,3.592
3084,4,W,U,4.076
3090,4,W,U,3.702
2897,6,S,I,3.658
2898,6,S,I,3.973
2899,6,S,I,3.809
2925,6,S,I,3.749
2932,6,S,I,3.723
2933,6,S,I,3.783
2935,6,S,I,3.945
2941,6,S,I,3.869
2943,6,S,I,3.92
2944,6,S,I,3.898
2949,6,S,I,3.928
2953,6,S,I,3.667
2954,6,S,I,4.005
2960,6,S,I,3.892
2963,6,S,I,3.89
2964,6,S,I,3.735
2965,6,S,I,3.765
2966,6,S,I,4.001
2981,6,S,I,3.941
2983,6,S,I,4.047
2994,6,S,I,3.984
3005,6,S,I,3.995
3011,6,S,I,3.845
3017,6,S,I,3.81
3018,6,S,I,3.96
3026,6,S,I,4.005
3030,6,S,I,4.049
3037,6,S,I,4.077
3058,6,S,I,4.16
3067,6,S,I,4.06
3069,6,S,I,3.922
3070,6,S,I,3.933
3080,6,S,I,3.967
3083,6,S,I,3.945
3091,6,S,I,3.873
2995,8,S,I,3.16
3000,8,S,I,3.266
3009,8,S,I,3.196
3036,12,S,U,3.794
2896,14,W,I,3.878
2912,14,W,I,3.564
2928,14,W,I,3.873
2991,14,W,I,3.648
2992,14,W,I,3.699
2993,14,W,I,3.404
3012,14,W,I,3.672
3024,14,W,I,3.681
3028,14,W,I,3.459
3032,14,W,I,3.851
3062,14,W,I,4.001
3065,14,W,I,3.89
3071,14,W,I,3.905
3077,14,W,I,3.881
3078,14,W,I,3.673
3079,14,W,I,3.54
2951,15,W,U,3.788
2972,15,W,U,3.82
2973,15,W,U,4.091
3054,15,W,U,3.913
3089,15,W,U,3.835
2998,17,W,U,3.54
2976,18,W,I,3.049
3055,18,W,I,3.07
2950,22,S,U,3.833
2961,22,S,U,3.699
3014,22,S,U,3.672
3019,22,S,U,3.552
3033,22,S,U,3.863
3041,22,S,U,3.654
3045,22,S,U,3.878
3068,22,S,U,3.69
2894,23,W,U,3.881
2905,23,W,U,3.5
2909,23,W,U,3.73
2914,23,W,U,3.708
2916,23,W,U,3.89
2918,23,W,U,3.852
2923,23,W,U,3.821
2939,23,W,U,3.657
2955,23,W,U,3.933
2959,23,W,U,3.781
2971,23,W,U,3.625
2975,23,W,U,3.823
2979,23,W,U,3.347
2982,23,W,U,3.958
2984,23,W,U,3.767
2997,23,W,U,3.888
3002,23,W,U,3.715
3007,23,W,U,3.663
3008,23,W,U,3.715
3013,23,W,U,3.364
3044,23,W,U,3.706
3050,23,W,U,3.766
3064,23,W,U,3.848
3073,23,W,U,3.861
3075,23,W,U,3.82
3086,23,W,U,3.926
2947,28,W,I,3.849
2904,30,S,I,3.839
2917,30,S,I,3.72
2926,30,S,I,3.759
2934,30,S,I,3.88
2952,30,S,I,3.776
2988,30,S,I,3.606
3001,30,S,I,3.759
3015,30,S,I,3.658
3016,30,S,I,3.618
3020,30,S,I,3.555
3021,30,S,I,3.541
3023,30,S,I,3.706
3040,30,S,I,3.833
3042,30,S,I,3.866
3051,30,S,I,3.517
3056,30,S,I,3.766
3061,30,S,I,3.913
3076,30,S,I,3.896
3088,30,S,I,3.88
2910,32,S,I,3.895
2919,32,S,I,3.97
3022,32,S,I,4.02
2921,38,S,U,3.9
2996,38,S,U,3.822
2902,40,W,I,3.393
2907,40,W,I,3.891
2913,40,W,I,4.014
2915,40,W,I,3.939
2927,40,W,I,3.668
2930,40,W,I,3.965
2936,40,W,I,3.993
2940,40,W,I,3.557
2945,40,W,I,3.874
2956,40,W,I,3.998
2967,40,W,I,3.932
2970,40,W,I,4.008
2978,40,W,I,3.496
2980,40,W,I,3.896
2987,40,W,I,3.853
3004,40,W,I,3.982
3025,40,W,I,4.034
3034,40,W,I,3.82
3046,40,W,I,3.901
3047,40,W,I,3.994
3059,40,W,I,3.806
2922,41,S,U,3.198
2895,42,S,I,3.618
2903,42,S,I,3.539
2908,42,S,I,3.712
2911,42,S,I,3.767
2924,42,S,I,3.738
2929,42,S,I,3.727
2942,42,S,I,3.569
2958,42,S,I,3.481
2977,42,S,I,3.563
3038,42,S,I,3.621
3053,42,S,I,3.478
3063,42,S,I,3.578
3074,42,S,I,3.535
2900,48,W,U,NA
2931,48,W,U,3.95
2989,48,W,U,4.053
3066,48,W,U,3.995
3082,48,W,U,3.961
