ColonyID,Round,Pollen,Infection,SampleWeek,BeeID,WingSize
32,2A,S,I,8,2193,1.697
29,2B,W,I,8,2262,1.727
45,2B,S,I,4,800,1.729
41,2B,S,U,5,1216,1.732
12,1A,S,U,5,586,1.785
26,2B,S,U,6,1585,1.789
47,2B,W,I,5,1185,1.835
43,2A,W,I,9,2537,1.866
27,2A,W,U,6,1481,1.871
44,2B,W,U,5,1218,1.872
22,1B,S,U,8,1802,1.877
45,2B,S,I,10,2794,1.883
47,2B,W,I,7,1929,1.898
8,1A,S,I,8,1656,1.9
29,2B,W,I,10,2811,1.906
17,1B,W,U,9,2154,1.907
8,1A,S,I,7,1285,1.908
33,2B,W,I,9,2635,1.91
36,2A,W,U,7,1888,1.916
23,1B,W,U,9,2164,1.919
41,2B,S,U,10,2893,1.922
15,1B,W,U,4,360,1.927
2,1A,S,I,3,61,1.931
23,1B,W,U,6,1001,1.931
6,1B,S,I,6,1008,1.931
36,2A,W,U,6,1513,1.931
47,2B,W,I,7,1930,1.937
7,1B,S,U,6,970,1.948
50,2A,S,U,9,2569,1.95
29,2B,W,I,10,2804,1.951
5,1A,S,U,8,1675,1.953
17,1B,W,U,4,348,1.955
48,2B,W,U,10,2862,1.957
8,1A,S,I,8,1654,1.96
47,2B,W,I,6,1567,1.962
2,1A,S,I,8,1644,1.967
32,2A,S,I,4,788,1.975
33,2B,W,I,10,2824,1.976
17,1B,W,U,10,2508,1.977
43,2A,W,I,10,2739,1.977
43,2A,W,I,10,2740,1.978
46,2B,W,U,6,1609,1.984
25,1A,S,I,10,2352,1.985
41,2B,S,U,9,2693,1.986
50,2A,S,U,10,2767,1.987
8,1A,S,I,6,957,1.992
7,1B,S,U,4,367,1.994
38,2A,S,U,10,2786,1.994
4,1A,W,U,10,2411,1.996
22,1B,S,U,8,1799,1.998
21,1A,W,I,3,82,1.999
16,1A,W,I,4,270,2.001
5,1A,S,U,7,1329,2.003
28,2A,W,I,6,1479,2.003
7,1B,S,U,6,969,2.004
7,1B,S,U,6,977,2.004
42,2A,S,I,6,1439,2.005
22,1B,W,U,5,696,2.007
43,2A,W,I,9,2535,2.01
3,1A,W,U,5,595,2.013
7,1B,S,U,4,375,2.016
1,1B,S,I,10,2448,2.017
45,2B,S,I,4,802,2.018
23,1B,W,U,7,1426,2.019
12,1A,S,U,5,616,2.02
28,2A,W,I,4,771,2.02
3,1A,W,U,6,901,2.02
8,1A,S,I,8,1653,2.021
8,1A,S,I,9,1989,2.022
6,1B,S,I,10,2439,2.024
25,1A,S,I,3,76,2.025
5,1A,S,U,6,879,2.025
22,1B,S,U,8,1803,2.025
21,1A,W,I,5,549,2.027
14,1B,W,I,8,1730,2.027
16,1A,W,I,7,1246,2.029
18,1B,W,I,7,1375,2.03
27,2A,W,U,6,1487,2.031
14,1B,W,I,7,1353,2.032
12,1A,S,U,5,585,2.033
28,2A,W,I,6,1477,2.033
29,2B,W,I,8,2269,2.033
29,2B,W,I,9,2618,2.038
45,2B,S,I,9,2630,2.038
