ColonyID,InocDate,Round,Pollen,Infection,SampleWeek,BeeID,Crithidia,WingSize,Dissect Date,Notes
25c,07/06/17,1A,S,I,2,1,11,2.531,13-Jul,
25c,07/06/17,1A,S,I,2,2,55,2.667,13-Jul,
25c,07/06/17,1A,S,I,2,3,53,2.852,13-Jul,
21c,07/06/17,1A,W,I,2,4,63,2.558,13-Jul,
21c,07/06/17,1A,W,I,2,5,0,2.633,13-Jul,
21c,07/06/17,1A,W,I,2,6,0,2.508,13-Jul,
8c,07/06/17,1A,S,I,2,13,0,2.505,13-Jul,
8c,07/06/17,1A,S,I,2,14,1,2.711,13-Jul,
8c,07/06/17,1A,S,I,2,15,2,2.274,13-Jul,
2c,07/06/17,1A,S,I,2,25,162,2.67,13-Jul,
2c,07/06/17,1A,S,I,2,26,124,2.71,13-Jul,
2c,07/06/17,1A,S,I,2,27,85,2.469,13-Jul,
16c,07/06/17,1A,W,I,2,28,24,2.801,13-Jul,
16c,07/06/17,1A,W,I,2,29,5,2.393,13-Jul,
16c,07/06/17,1A,W,I,2,30,14,2.505,13-Jul,
6c,07/07/17,1B,S,I,2,31,2,2.476,14-Jul,
6c,07/07/17,1B,S,I,2,32,0,2.779,14-Jul,
6c,07/07/17,1B,S,I,2,33,4,2.481,14-Jul,
18c,07/07/17,1B,W,I,2,37,0,2.432,14-Jul,
18c,07/07/17,1B,W,I,2,38,9,2.849,14-Jul,
18c,07/07/17,1B,W,I,2,39,28,2.792,14-Jul,
1c,07/07/17,1B,S,I,2,46,111,2.595,14-Jul,
1c,07/07/17,1B,S,I,2,47,2,2.687,14-Jul,
1c,07/07/17,1B,S,I,2,48,17,2.674,14-Jul,
14c,07/07/17,1B,W,I,2,52,68,2.362,14-Jul,
14c,07/07/17,1B,W,I,2,53,15,2.423,14-Jul,
14c,07/07/17,1B,W,I,2,54,1,2.599,14-Jul,
9c,07/07/17,1B,W,I,2,55,33,2.503,14-Jul,
9c,07/07/17,1B,W,I,2,56,5,2.915,14-Jul,
9c,07/07/17,1B,W,I,2,57,49,2.744,14-Jul,
2c,07/06/17,1A,S,I,3,61,11,1.931,20-Jul,
2c,07/06/17,1A,S,I,3,62,24,2.488,20-Jul,
2c,07/06/17,1A,S,I,3,63,70,2.658,20-Jul,
2c,07/06/17,1A,S,I,3,64,41,2.754,20-Jul,
2c,07/06/17,1A,S,I,3,65,127,2.775,20-Jul,
8c,07/06/17,1A,S,I,3,66,11,2.492,20-Jul,
8c,07/06/17,1A,S,I,3,67,28,2.63,20-Jul,
8c,07/06/17,1A,S,I,3,68,144,2.507,20-Jul,
8c,07/06/17,1A,S,I,3,69,48,2.408,20-Jul,
8c,07/06/17,1A,S,I,3,70,2,2.602,20-Jul,
8c,07/06/17,1A,S,I,3,71,37,2.653,20-Jul,
8c,07/06/17,1A,S,I,3,72,79,2.537,20-Jul,
8c,07/06/17,1A,S,I,3,73,60,2.576,20-Jul,
25c,07/06/17,1A,S,I,3,74,132,2.71,20-Jul,
25c,07/06/17,1A,S,I,3,75,64,2.665,20-Jul,
25c,07/06/17,1A,S,I,3,76,0,2.025,20-Jul,
25c,07/06/17,1A,S,I,3,77,0,2.512,20-Jul,
25c,07/06/17,1A,S,I,3,78,48,2.592,20-Jul,
25c,07/06/17,1A,S,I,3,79,14,2.117,20-Jul,
21c,07/06/17,1A,W,I,3,80,0,2.673,20-Jul,
21c,07/06/17,1A,W,I,3,82,72,1.999,20-Jul,
21c,07/06/17,1A,W,I,3,83,19,2.2,20-Jul,
21c,07/06/17,1A,W,I,3,84,3,2.792,20-Jul,
21c,07/06/17,1A,W,I,3,85,0,2.624,20-Jul,
21c,07/06/17,1A,W,I,3,86,1,2.365,20-Jul,
21c,07/06/17,1A,W,I,3,87,11,2.728,20-Jul,
16c,07/06/17,1A,W,I,3,117,38,2.639,20-Jul,
16c,07/06/17,1A,W,I,3,118,17,2.751,20-Jul,
16c,07/06/17,1A,W,I,3,119,2,2.544,20-Jul,
16c,07/06/17,1A,W,I,3,120,14,2.246,20-Jul,
16c,07/06/17,1A,W,I,3,121,30,2.532,20-Jul,
16c,07/06/17,1A,W,I,3,122,94,2.306,20-Jul,
16c,07/06/17,1A,W,I,3,123,40,2.197,20-Jul,
9c,07/07/17,1B,W,I,3,124,106,2.609,21-Jul,
9c,07/07/17,1B,W,I,3,125,27,2.503,21-Jul,
9c,07/07/17,1B,W,I,3,126,81,2.476,21-Jul,
9c,07/07/17,1B,W,I,3,127,71,2.808,21-Jul,
9c,07/07/17,1B,W,I,3,128,56,2.548,21-Jul,
18c,07/07/17,1B,W,I,3,141,18,2.573,21-Jul,
18c,07/07/17,1B,W,I,3,142,42,2.846,21-Jul,
18c,07/07/17,1B,W,I,3,144,117,2.887,21-Jul,
18c,07/07/17,1B,W,I,3,147,41,2.533,21-Jul,
18c,07/07/17,1B,W,I,3,149,31,2.533,21-Jul,
1c,07/07/17,1B,S,I,3,150,3,2.473,21-Jul,
1c,07/07/17,1B,S,I,3,151,6,2.546,21-Jul,
1c,07/07/17,1B,S,I,3,152,1,2.648,21-Jul,
1c,07/07/17,1B,S,I,3,153,8,2.272,21-Jul,
1c,07/07/17,1B,S,I,3,154,11,2.386,21-Jul,
1c,07/07/17,1B,S,I,3,155,31,2.774,21-Jul,
6c,07/07/17,1B,S,I,3,156,0,2.867,21-Jul,
6c,07/07/17,1B,S,I,3,157,168,2.533,21-Jul,
6c,07/07/17,1B,S,I,3,158,1,2.673,21-Jul,
14c,07/07/17,1B,W,I,3,165,0,2.352,21-Jul,
14c,07/07/17,1B,W,I,3,166,0,2.537,21-Jul,
14c,07/07/17,1B,W,I,3,167,100,2.603,21-Jul,
14c,07/07/17,1B,W,I,3,168,25,2.789,21-Jul,
14c,07/07/17,1B,W,I,3,169,175,2.455,21-Jul,
14c,07/07/17,1B,W,I,3,170,0,2.814,21-Jul,CALLOW
14c,07/07/17,1B,W,I,3,171,23,2.332,21-Jul,
14c,07/07/17,1B,W,I,3,172,40,2.371,21-Jul,
14c,07/07/17,1B,W,I,3,173,17,2.759,21-Jul,
30c,07/18/17,2A,S,I,2,191,1,2.547,25-Jul,
30c,07/18/17,2A,S,I,2,192,0,2.616,25-Jul,
30c,07/18/17,2A,S,I,2,193,133,2.769,25-Jul,
42c,07/18/17,2A,S,I,2,194,114,2.568,25-Jul,
42c,07/18/17,2A,S,I,2,195,4,2.232,25-Jul,
42c,07/18/17,2A,S,I,2,196,26,2.63,25-Jul,
43c,07/18/17,2A,W,I,2,197,153,2.475,25-Jul,
43c,07/18/17,2A,W,I,2,198,120,2.662,25-Jul,
43c,07/18/17,2A,W,I,2,199,68,2.568,25-Jul,
28c,07/18/17,2A,W,I,2,206,20,2.515,25-Jul,
28c,07/18/17,2A,W,I,2,207,65,2.6,25-Jul,
28c,07/18/17,2A,W,I,2,208,16,2.376,25-Jul,
32c,07/18/17,2A,S,I,2,209,0,2.719,25-Jul,
32c,07/18/17,2A,S,I,2,210,22,2.533,25-Jul,
32c,07/18/17,2A,S,I,2,211,0,2.704,25-Jul,
45c,07/19/17,2B,S,I,2,212,1,2.401,26-Jul,
45c,07/19/17,2B,S,I,2,213,1,2.361,26-Jul,
45c,07/19/17,2B,S,I,2,214,21,2.555,26-Jul,
33c,07/19/17,2B,W,I,2,215,43,2.478,26-Jul,
33c,07/19/17,2B,W,I,2,216,16,2.709,26-Jul,
33c,07/19/17,2B,W,I,2,217,138,2.703,26-Jul,
29c,07/19/17,2B,W,I,2,221,0,2.547,26-Jul,
29c,07/19/17,2B,W,I,2,222,5,2.474,26-Jul,
29c,07/19/17,2B,W,I,2,223,0,2.768,26-Jul,
40c,07/19/17,2B,W,I,2,227,0,2.764,26-Jul,
40c,07/19/17,2B,W,I,2,228,3,2.643,26-Jul,
40c,07/19/17,2B,W,I,2,229,0,2.558,26-Jul,
47c,07/19/17,2B,W,I,2,230,2,2.825,26-Jul,
47c,07/19/17,2B,W,I,2,231,0,2.261,26-Jul,
47c,07/19/17,2B,W,I,2,232,0,2.468,26-Jul,
8c,07/07/17,1A,S,I,4,259,2,2.607,27-Jul,
8c,07/07/17,1A,S,I,4,260,1,2.788,27-Jul,
16c,07/07/17,1A,W,I,4,270,48,2.001,27-Jul,
16c,07/07/17,1A,W,I,4,271,43,2.533,27-Jul,
16c,07/07/17,1A,W,I,4,272,36,2.091,27-Jul,
16c,07/07/17,1A,W,I,4,273,56,2.54,27-Jul,
16c,07/07/17,1A,W,I,4,274,101,2.453,27-Jul,
16c,07/07/17,1A,W,I,4,275,9,2.603,27-Jul,
